FIPS13,YearBuilt,TotalUnits
"060014024001016","2007",1
"060014024001024","2003",2
"060014024002010","2003",2
"060014026001012","2003",92
"060014026001034","2002",18
"060014027001007","2008",1
"060014027002004","2015",6
"060014027002004","2009",6
"060014027002006","2005",2
"060014027002007","2008",1
"060014027002008","2008",272
"060014027002011","2009",10
"060014027002018","2011",1
"060014027002018","2010",2
"060014028001002","2017",0
"060014028001008","2007",78
"060014030001012","2004",352
"060014030001018","2008",22
"060014030001021","2007",1
"060014030001021","2008",1590
"060014030002016","2005",5
"060014031001003","2012",264
"060014031001020","2006",116
"060014031001020","2008",516
"060014031001020","2005",696
"060014031001025","2001",36
"060014033001019","2006",194
"060014033001023","2001",89
"060014033001024","2001",86
"060014033001026","2006",150
"060014033001030","2003",1568
"060014033001031","2001",150
"060014033001040","2001",282
"060014033001044","2006",100
"060014033002008","2006",72
"060014033002012","2009",2
"060014034001013","2001",5130
"060014034003000","2017",5
"060014035011000","2007",1
"060014035011009","2016",71
"060014035011015","2006",25
"060014035011021","2006",1
"060014035011021","2009",474
"060014035021001","2006",2
"060014036003001","2001",3
"060014038002004","2005",1
"060014038003001","2004",13
"060014038004000","2006",1
"060014038004000","2009",1
"060014039001004","2012",1
"060014039003006","2006",1
"060014040001001","2007",1
"060014040001003","2004",2
"060014040002006","2001",37
"060014041011000","2016",4
"060014041011000","2017",6
"060014041011001","2016",23
"060014041011009","2008",2
"060014041011009","2005",2
"060014041012000","2005",8
"060014042001000","2001",1
"060014042001000","2004",1
"060014042001000","2008",1
"060014042001000","2000",2
"060014042001000","2002",2
"060014042001000","2005",2
"060014042001000","2007",2
"060014042001000","2006",3
"060014042001001","2010",1
"060014042001004","2000",1
"060014042001005","2003",1
"060014042001007","2004",1
"060014042001009","2003",1
"060014042001011","2000",1
"060014042001011","2016",1
"060014042001013","2017",1
"060014042002000","2005",1
"060014042002000","2007",1
"060014042002000","2010",1
"060014042002000","2015",1
"060014042002000","2009",2
"060014042002000","2011",3
"060014042002001","2000",1
"060014042002001","2001",1
"060014042002001","2002",1
"060014042002006","2010",1
"060014042002006","2016",3
"060014042002006","2017",4
"060014042003005","2011",1
"060014042003012","2011",1
"060014043001000","2002",1
"060014043001001","2017",0
"060014043001001","2001",1
"060014043001001","2002",1
"060014043001001","2003",1
"060014043001001","2005",1
"060014043001001","2016",1
"060014043001002","2000",1
"060014043001012","2000",1
"060014043001012","2003",2
"060014043001014","2004",1
"060014043001014","2007",1
"060014043001014","2009",1
"060014043001015","2008",1
"060014043001015","2014",1
"060014043001015","2002",2
"060014043001015","2005",2
"060014043001015","2000",3
"060014043001018","2001",1
"060014043001018","2002",1
"060014043001018","2017",1
"060014043001019","2004",1
"060014043001019","2008",1
"060014043001019","2014",1
"060014043001020","2000",2
"060014043001023","2003",1
"060014043001023","2007",1
"060014043001028","2016",1
"060014043001029","2001",1
"060014043001029","2000",2
"060014043002002","2000",1
"060014043002002","2001",1
"060014043002002","2002",1
"060014043002002","2009",1
"060014043002002","2013",1
"060014043002002","2014",1
"060014043002002","2017",1
"060014043002004","2000",1
"060014043002010","2001",1
"060014043002010","2008",1
"060014043002011","2005",1
"060014043003004","2001",1
"060014043003004","2012",1
"060014043003017","2017",1
"060014043003019","2001",1
"060014043003019","2002",1
"060014043003019","2016",1
"060014043003020","2000",1
"060014044001000","2003",1
"060014044001000","2010",1
"060014044001000","2011",1
"060014044001000","2014",1
"060014044001000","2015",1
"060014044001000","2001",2
"060014044001000","2005",2
"060014044001003","2011",1
"060014044001003","2017",2
"060014044001003","2004",3
"060014044001003","2005",3
"060014044001003","2007",3
"060014044001003","2008",3
"060014044001003","2002",4
"060014044001003","2000",5
